Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
132,Damon Jones\jonesda01,PG,27,MIL,82,26,24.6,2.6,6.4,.401,1.2,3.3,.359,1.4,3.1,.446,.494,0.7,0.9,.764,0.2,1.9,2.1,5.8,0.4,0.0,1.3,1.1,7.0
133,Raül López\lopezra01,PG,23,UTA,82,11,19.7,2.7,6.3,.431,0.3,1.0,.294,2.4,5.3,.458,.456,1.2,1.4,.863,0.3,1.6,1.9,3.7,0.8,0.0,2.1,2.4,7.0
134,Bruce Bowen\bowenbr01,SF,32,SAS,82,82,32.0,2.6,6.1,.420,0.9,2.6,.363,1.6,3.5,.462,.497,0.8,1.4,.579,0.5,2.5,3.1,1.4,1.0,0.4,1.1,2.0,6.9
135,Ruben Patterson\patteru01,SF,28,POR,73,1,22.6,2.7,5.4,.506,0.0,0.2,.167,2.7,5.2,.517,.509,1.4,2.6,.553,1.8,1.9,3.7,1.9,1.2,0.3,1.4,2.1,6.9
136,Keith Bogans\boganke01,SF,23,ORL,73,36,24.5,2.5,6.2,.403,0.9,2.6,.358,1.6,3.7,.434,.477,0.9,1.4,.631,1.5,2.9,4.3,1.3,0.6,0.1,1.0,1.8,6.8
137,Greg Ostertag\ostergr01,C,30,UTA,78,51,27.6,2.7,5.6,.476,0.0,0.0,.000,2.7,5.6,.477,.476,1.4,2.5,.579,2.8,4.6,7.4,1.6,0.4,1.8,1.3,2.9,6.8
138,Fred Hoiberg\hoibefr01,SG,31,MIN,79,3,22.8,2.3,4.8,.465,1.0,2.2,.442,1.3,2.7,.483,.564,1.2,1.5,.845,0.3,3.1,3.4,1.4,0.8,0.1,0.6,1.7,6.7
139,Kareem Rush\rushka01,SG,23,LAL,72,15,17.3,2.6,6.0,.440,0.7,1.9,.348,2.0,4.1,.483,.495,0.4,0.7,.596,0.3,1.1,1.3,0.8,0.5,0.3,0.7,1.5,6.4
140,Chris Mihm\mihmch01,C-PF,24,TOT,76,17,17.5,2.4,5.0,.488,0.0,0.0,,2.4,5.0,.488,.488,1.4,2.2,.663,2.1,3.4,5.4,0.3,0.5,0.8,1.2,2.7,6.3
141,Aaron Williams\williaa01,C,32,NJN,72,7,18.6,2.4,4.8,.503,0.0,0.0,.333,2.4,4.7,.504,.504,1.5,2.2,.677,1.4,2.7,4.1,1.1,0.5,0.6,1.2,2.6,6.3
142,Anthony Johnson\johnsan02,PG,29,IND,73,7,21.9,2.3,5.6,.406,0.6,1.7,.336,1.7,4.0,.436,.456,1.0,1.3,.798,0.4,1.4,1.8,2.8,0.9,0.1,1.0,1.9,6.2
143,Jeff Foster\fosteje01,C,27,IND,82,79,23.9,2.4,4.4,.544,0.0,0.0,.000,2.4,4.4,.550,.544,1.3,1.9,.669,3.0,4.4,7.4,0.8,0.9,0.3,0.7,2.3,6.1
144,Chris Kaman\kamanch01,C,21,LAC,82,61,22.5,2.4,5.3,.460,0.0,0.0,.000,2.4,5.3,.462,.460,1.2,1.7,.697,1.5,4.1,5.6,1.0,0.3,0.9,1.9,2.6,6.1
145,Jarron Collins\collija03,C,25,UTA,81,31,21.4,1.8,3.6,.498,0.0,0.0,.000,1.8,3.6,.500,.498,2.3,3.2,.718,1.4,2.5,3.9,1.0,0.3,0.2,1.0,3.1,6.0
146,Casey Jacobsen\jacobca01,SF,22,PHO,78,13,23.4,1.9,4.6,.417,1.0,2.3,.417,1.0,2.3,.417,.521,1.2,1.4,.820,0.5,2.0,2.6,1.3,0.6,0.1,0.9,1.8,6.0
147,Charlie Ward\wardch01,PG,33,TOT,71,10,17.6,2.3,5.5,.410,1.2,2.9,.408,1.1,2.6,.413,.518,0.3,0.4,.741,0.2,1.9,2.0,3.0,0.9,0.2,1.4,1.5,6.0
148,Marcus Banks\banksma01,PG,22,BOS,81,2,17.1,2.2,5.5,.400,0.3,1.1,.314,1.9,4.4,.421,.431,1.2,1.6,.756,0.4,1.3,1.6,2.2,1.1,0.2,1.5,2.1,5.9
149,Steve Blake\blakest01,PG,23,WAS,75,14,18.6,2.1,5.4,.386,1.0,2.7,.371,1.1,2.7,.400,.478,0.7,0.9,.821,0.2,1.3,1.6,2.8,0.8,0.1,1.7,1.3,5.9
